Stt,Tên chức năng chính,Tên chức năng con,Mobile,Web,C1 nhập,W1,C2 xuất,W2,C3 Truy vấn,W3,C4 Bảng liên quan,W4,C5 Giao tiếp ngoài,W5
31,Adjust Collection Use Case,Create Collection,x,x,1,3,0,0,0,0,1,7,0,0
32,Adjust Collection Use Case,Update Collection,x,x,1,3,0,0,0,0,1,7,0,0
33,Adjust Collection Use Case,Delete Collection,x,x,1,3,0,0,0,0,1,7,0,0
34,Adjust Collection Use Case,React/Unreact to Collection,x,x,1,3,0,0,0,0,1,7,0,0
35,Adjust Collection Use Case,Add Post to Collection,x,x,1,3,0,0,0,0,1,7,0,0
36,Adjust Friend Use Case,Adjust Friend,x,x,0,0,0,0,1,3,1,7,0,0
37,Adjust Friend Use Case,View friend list,x,x,0,0,0,0,1,3,1,7,0,0
38,Adjust Friend Use Case,Add Friend (Create follow),x,x,1,3,0,0,0,0,1,7,0,0
39,Adjust Friend Use Case,Delete Friend (Unfollow),x,x,1,3,0,0,0,0,1,7,0,0
40,Adjust Friend Use Case,Search Friend,x,x,0,0,0,0,1,3,1,7,0,0
41,Adjust Friend Use Case,Block User,x,x,1,3,0,0,0,0,1,7,0,0
42,Adjust Friend Use Case,Unblock User,x,x,1,3,0,0,0,0,1,7,0,0
43,Adjust Friend Use Case,View Friend Suggestions,x,x,0,0,0,0,1,3,1,7,0,0
44,Chat Use Case,Chat,x,x,0,0,0,0,1,3,2,0,0,0
45,Chat Use Case,View Conversations,x,x,0,0,0,0,1,3,2,0,0,0
46,Chat Use Case,Create Chat,x,x,1,3,0,0,0,0,1,7,0,0
47,Chat Use Case,Create Group Chat,x,x,1,3,0,0,0,0,1,7,0,0
48,Chat Use Case,Send Message,x,x,1,3,0,0,0,0,1,7,0,0
49,Chat Use Case,Delete Message (Unsend),x,x,1,3,0,0,0,0,1,7,0,0
50,Chat Use Case,Search Chat History,x,x,0,0,0,0,1,3,1,0,0,0
51,Chat Use Case,Mark Chat as Read,x,x,1,3,0,0,0,0,1,7,0,0
52,Chat Use Case,Leave Group Chat,x,x,1,3,0,0,0,0,1,0,0,0
53,Adjust User Profile Settings,Adjust User Profile Settings,x,x,0,0,0,0,1,3,1,7,0,0
54,Adjust User Profile Settings,Update Social Links,x,x,1,3,0,0,0,0,1,7,0,0
55,Adjust User Profile Settings,Delete Account,x,x,1,3,0,0,0,0,1,7,0,0
56,Monitor Notification,Monitor Notification,x,x,0,0,0,0,1,3,1,0,0,0
57,Monitor Notification,View list Notification,x,x,0,0,0,0,1,3,1,0,0,0
58,Monitor Notification,Mark Notification as Read,x,x,1,3,0,0,0,0,1,7,0,0
59,Monitor Notification,Mark all Notifications as Read,x,x,1,3,0,0,0,0,1,7,0,0
60,Monitor Notification,Delete Notification,x,x,1,3,0,0,0,0,1,7,0,0
61,Monitor Notification,Configure Notification Preferences,x,x,1,3,0,0,0,0,1,7,0,0
62,User Report Content,Supervise content,x,x,0,0,0,0,1,3,1,0,0,0
63,User Report Content,User Report Post/Comment/User,x,x,1,3,0,0,0,0,1,0,0,0
64,User Report Content,User view Own Report History,x,x,1,3,1,4,0,0,1,0,0,0
65,Adjust Professional Profile,Adjust Professional Profile,x,x,0,0,0,0,1,3,1,7,0,0
66,Adjust Professional Profile,Switch to Professional Mode,x,x,1,3,0,0,0,0,1,7,0,0
67,Adjust Professional Profile,View dashboard,x,x,0,0,1,4,0,0,0,0,0,0
68,Adjust Professional Profile,Manage ads campaign,x,x,1,3,0,0,0,0,1,7,1,5
69,Adjust Group,Adjust Group,x,x,0,0,0,0,1,3,1,7,0,0
70,Adjust Group,Create Group,x,x,1,3,0,0,0,0,1,7,0,0
71,Adjust Group,Update group settings,x,x,1,3,0,0,0,0,1,7,0,0
72,Adjust Group,Join/Leave Group,x,x,0,0,0,0,0,0,0,0,0,0
73,Adjust Group,Manage Join Request,,x,1,3,0,0,0,0,1,7,0,0
74,Adjust Group,Manage Group Member,,x,1,3,0,0,0,0,1,7,0,0
75,Adjust Group,Moderate Group Content,,x,0,0,0,0,0,0,0,0,0,0
76,Admin User-level Moderation,Admin Moderation,x,x,0,0,0,0,1,3,1,0,0,0
77,Admin User-level Moderation,View all user reports,,x,1,3,1,4,0,0,1,0,0,0
78,Admin User-level Moderation,Accept/Deny User report,,x,1,3,0,0,0,0,1,0,0,0
79,Admin monitor system health,Monitor system health,,x,0,0,1,4,0,0,0,0,1,5
80,Admin monitor system health,"View Realtime metrics (CPU, RAM, API Latency)",,x,0,0,1,4,0,0,0,0,0,0
81,Admin monitor system health,View Application Log (Error/Info/Warn),,x,1,3,1,4,0,0,1,0,1,5

,TỔNG CỘNG (Delta),,,,51,153,6,24,23,69,79,427,5,25

,THAM SỐ HIỆU CHỈNH (Fi),,,,Sum Fi,57,VAF,1.22,,,,,,
,KẾT QUẢ CUỐI CÙNG (FP),,,,Unadjusted,698,Function Point,851.56,,,,,,
